,id,address,categories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province,average_price,GDP
639,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,With mozzarella and American cheese.,"Tomato, Bacon, and Ranch Pizza",Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
640,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Bacon, fresh tomatoes, spinach, garlic, and olive oil (white) .",Tropical Tease Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
641,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Broccoli, fresh tomatoes, peppers, onions, olives, eggplant, and mozzarella.",Vegetarian Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
642,AVwckKm1_7pvs4fzwgoc,305 E Harrison St,American Restaurant,Lakeview,US,us/oh/lakeview/305eharrisonst/1260598561,40.482773,-83.92229,,14,14,USD,2016-04-01T07:05:15Z,,Florentine Pizza,Captains Point,43331,USD,0,25,OH,14,56126
643,AVwckM0kByjofQCxfsF4,9774 Zimbro Ave,"Restaurant,Pizza Place",Manassas,US,us/va/manassas/9774zimbroave/1269615490,38.753685,-77.491615,,7.99,7.99,USD,"2016-05-19T14:19:43Z,2016-04-01T06:48:17Z",,3 Topping Pizza,The Perfect Pizza Company,20110,,,,VA,7.99,46161
644,AVwckM0kByjofQCxfsF4,9774 Zimbro Ave,"Restaurant,Pizza Place",Manassas,US,us/va/manassas/9774zimbroave/1269615490,38.753685,-77.491615,,7.99,7.99,USD,"2016-05-19T14:19:43Z,2016-04-01T06:48:17Z",,Cheese Pizzas,The Perfect Pizza Company,20110,,,,VA,7.99,46161
645,AVwckM0kByjofQCxfsF4,9774 Zimbro Ave,"Restaurant,Pizza Place",Manassas,US,us/va/manassas/9774zimbroave/1269615490,38.753685,-77.491615,,7.99,7.99,USD,"2016-05-19T14:19:43Z,2016-04-01T06:48:17Z","Veg option. Pepperoni, salami, pizza sauce, onion, green peppers, mushrooms ,olives, cheese",Perfect Pizza Sub,The Perfect Pizza Company,20110,,,,VA,7.99,46161
646,AVwckM0kByjofQCxfsF4,9774 Zimbro Ave,"Restaurant,Pizza Place",Manassas,US,us/va/manassas/9774zimbroave/1269615490,38.753685,-77.491615,,9.99,9.99,USD,"2016-05-19T14:19:43Z,2016-04-01T06:48:17Z",,Specialty Pizza,The Perfect Pizza Company,20110,,,,VA,9.99,46161
647,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,15,15,USD,2016-09-26T00:46:09Z,,Baked Ziti Pizza,7 Day 24 Hours Emergency Locks,7086,,,,NJ,15,47658
648,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,15,15,USD,2016-09-26T00:46:09Z,Buffalo chicken strips topped with bleu cheese,Buffalo Chicken Pizza,7 Day 24 Hours Emergency Locks,7086,,,,NJ,15,47658
649,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,10,10,USD,2016-09-26T00:46:09Z,,Cheese Pizza,7 Day 24 Hours Emergency Locks,7086,,,,NJ,10,47658
650,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,15,15,USD,2016-09-26T00:46:09Z,,Chicken Napolitano Pizza,7 Day 24 Hours Emergency Locks,7086,,,,NJ,15,47658
